product_id,product_name,category,start_date,usd_price
1,Transponder AIS Maré Magnum,eletrônicos,10/08/2016,10583.63
1,Transponder AIS Maré Magnum,eletrônicos,15/06/2018,8778.36
1,Transponder AIS Maré Magnum,eletrônicos,25/09/2018,8023.87
1,Transponder AIS Maré Magnum,eletrônicos,19/03/2019,8772.78
1,Transponder AIS Maré Magnum,eletrônicos,17/01/2020,7918.18
1,Transponder AIS Maré Magnum,eletrônicos,17/06/2020,6310.01
1,Transponder AIS Maré Magnum,eletrônicos,02/07/2021,6586.7
1,Transponder AIS Maré Magnum,eletrônicos,16/05/2022,6538.2
1,Transponder AIS Maré Magnum,eletrônicos,28/02/2023,6360.91
1,Transponder AIS Maré Magnum,eletrônicos,17/10/2023,6574.8
1,Transponder AIS Maré Magnum,eletrônicos,16/02/2024,6657.12
1,Transponder AIS Maré Magnum,eletrônicos,22/02/2024,6703.2
1,Transponder AIS Maré Magnum,eletrônicos,15/03/2024,6633.66
1,Transponder AIS Maré Magnum,eletrônicos,02/08/2024,5774.5
1,Transponder AIS Maré Magnum,eletrônicos,08/04/2025,5579.75
2,Transponder Furuno Marlin,eletrônicos,23/11/2017,4325.09
2,Transponder Furuno Marlin,eletrônicos,06/07/2022,2577.22
2,Transponder Furuno Marlin,eletrônicos,24/05/2023,2829.74
2,Transponder Furuno Marlin,eletrônicos,05/11/2025,2602.27
3,Radar Furuno Pulse Leviathan,eletrônicos,12/04/2016,2549.21
3,Radar Furuno Pulse Leviathan,eletrônicos,26/07/2018,2423.45
3,Radar Furuno Pulse Leviathan,eletrônicos,27/06/2019,2335.69
3,Radar Furuno Pulse Leviathan,eletrônicos,17/07/2019,2399.28
3,Radar Furuno Pulse Leviathan,eletrônicos,14/10/2019,2187.31
3,Radar Furuno Pulse Leviathan,eletrônicos,04/12/2020,1745.49
3,Radar Furuno Pulse Leviathan,eletrônicos,21/06/2022,1753.77
4,Rádio AIS Hydro Tidal Zen,eletrônicos,04/03/2016,909.55
4,Rádio AIS Hydro Tidal Zen,eletrônicos,22/11/2016,1010.42
4,Rádio AIS Hydro Tidal Zen,eletrônicos,19/04/2017,1080.89
4,Rádio AIS Hydro Tidal Zen,eletrônicos,22/11/2018,887.7
4,Rádio AIS Hydro Tidal Zen,eletrônicos,21/09/2022,654.31
4,Rádio AIS Hydro Tidal Zen,eletrônicos,28/11/2023,692.14
4,Rádio AIS Hydro Tidal Zen,eletrônicos,13/03/2024,679.13
4,Rádio AIS Hydro Tidal Zen,eletrônicos,10/03/2025,583.85
5,Piloto Automático Furuno Storm,eletrônicos,10/02/2016,6006.45
5,Piloto Automático Furuno Storm,eletrônicos,17/01/2017,7374.9
5,Piloto Automático Furuno Storm,eletrônicos,18/02/2021,4364.4
5,Piloto Automático Furuno Storm,eletrônicos,03/05/2022,4718.61
5,Piloto Automático Furuno Storm,eletrônicos,24/05/2022,4920.79
5,Piloto Automático Furuno Storm,eletrônicos,15/08/2023,4752.24
5,Piloto Automático Furuno Storm,eletrônicos,24/09/2024,4327.37
5,Piloto Automático Furuno Storm,eletrônicos,24/07/2025,4285.3
6,Transponder AIS Vector,eletrônicos,23/07/2020,2288.92
6,Transponder AIS Vector,eletrônicos,01/12/2021,2104.66
6,Transponder AIS Vector,eletrônicos,07/03/2024,2394.79
6,Transponder AIS Vector,eletrônicos,21/06/2024,2172.43
6,Transponder AIS Vector,eletrônicos,04/12/2024,1951.33
6,Transponder AIS Vector,eletrônicos,19/03/2025,2086.5
7,Radar AIS Zen,eletrônicos,26/10/2016,6253.41
